Write Buffer Size,ops_per_sec,micros_per_op
923795456,12048,49.0
924844032,12987,47.0
925892608,8547,46.0
926941184,11764,51.0
927989760,7092,103.0
929038336,9345,65.0
930086912,8130,53.0
931135488,13698,45.0
932184064,9174,79.0
933232640,9433,78.0
934281216,8771,42.0
935329792,12987,47.0
936378368,13333,47.0
937426944,7751,93.0
938475520,8849,46.0
939524096,13698,45.0
940572672,10000,73.0
941621248,8403,51.0
942669824,12048,52.0
943718400,13157,46.0
944766976,13333,47.0
945815552,9259,79.0
946864128,12345,49.0
947912704,13888,44.0
948961280,13157,43.0
950009856,8547,47.0
951058432,13513,42.0
952107008,12820,47.0
953155584,8771,46.0
954204160,12820,47.0
955252736,11235,55.0
956301312,8403,49.0
957349888,8849,49.0
958398464,13333,46.0
959447040,13513,43.0
960495616,13333,46.0
961544192,12195,49.0
962592768,9090,77.0
963641344,8547,48.0
964689920,12048,49.0
965738496,12658,47.0
966787072,12987,45.0
967835648,13698,44.0
968884224,13333,46.0
969932800,13157,47.0
970981376,13157,46.0
972029952,12345,53.0
973078528,9090,44.0
974127104,13513,45.0
975175680,13333,44.0
976224256,12987,49.0
977272832,13333,43.0
978321408,9345,70.0
979369984,10101,68.0
980418560,11235,56.0
981467136,11627,54.0
982515712,11363,51.0
983564288,7692,52.0
984612864,11235,55.0
985661440,12345,50.0
986710016,12820,46.0
987758592,12048,47.0
988807168,11904,50.0
989855744,8064,53.0
990904320,12658,48.0
991952896,12500,51.0
993001472,8620,46.0
994050048,12195,51.0
995098624,9803,63.0
996147200,12500,46.0
997195776,11764,51.0
998244352,14084,42.0
999292928,8695,45.0
1000341504,8474,48.0
1001390080,8333,47.0
1002438656,11904,52.0
1003487232,11627,52.0
1004535808,12048,50.0
1005584384,11764,48.0
1006632960,12987,48.0
1007681536,12658,46.0
1008730112,8547,48.0
1009778688,8333,52.0
1010827264,12987,47.0
1011875840,8771,45.0
1012924416,8620,46.0
1013972992,12500,50.0
1015021568,14084,43.0
1016070144,12820,46.0
