Write Buffer Size,ops_per_sec,micros_per_op
1034944512,1908032,0.524
1035993088,2366460,0.422
1037041664,2216538,0.451
1038090240,2367710,0.422
1039138816,2426630,0.412
1040187392,2524175,0.396
1041235968,2245545,0.445
1042284544,2498213,0.4
1043333120,2127211,0.47
1044381696,2198159,0.455
1045430272,2184822,0.458
1046478848,2286900,0.437
1047527424,2231759,0.448
1048576000,2201159,0.454
1049624576,2430299,0.411
1050673152,2026284,0.493
1051721728,2329346,0.429
1052770304,2339745,0.427
1053818880,2231938,0.448
1054867456,2469294,0.405
1055916032,2175057,0.46
1056964608,2351137,0.425
1058013184,2157194,0.463
1059061760,2398668,0.417
1060110336,2095495,0.477
1061158912,2373656,0.421
1062207488,2206141,0.453
1063256064,2333406,0.428
1064304640,2283000,0.438
1065353216,2145582,0.466
1066401792,2438061,0.41
1067450368,2295162,0.436
1068498944,2397828,0.417
1069547520,2134444,0.468
1070596096,1933835,0.517
1071644672,2349524,0.426
1072693248,2132300,0.469
