max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
1,3,140633153,3,5,6,100669,11,5,27,6,82644050,27447,36.432
2,4,251142976,5,2,15,20942,8,2,24,1,80565402,21055,47.492
8,5,473884098,7,4,12,33386,9,17,29,7,131506885,25931,38.561
6,8,302945715,5,3,16,37529,13,2,22,5,77390398,28418,35.188
4,3,753305577,6,3,3,125137,11,26,29,2,123879425,22503,44.437
1,3,221102062,5,1,5,17173,2,14,24,1,93052777,28566,35.005
5,8,149916201,4,5,10,7423,8,24,28,1,86932608,25726,38.87
7,5,208486235,5,3,8,52958,11,32,22,8,49470043,18878,52.969
2,8,1027154854,4,5,9,53597,7,19,23,2,119086810,21998,45.457
8,3,892541442,6,2,16,48536,4,14,21,1,103445007,29877,33.469
3,1,309611297,7,3,14,18783,4,25,18,2,131385546,30793,32.473
7,5,384337700,4,4,10,103271,10,5,13,8,72943222,23625,42.327
8,5,724589787,3,3,7,87029,10,20,19,7,88284639,6746,148.226
4,2,787128456,4,5,8,85050,6,15,2,5,36888497,28986,34.497
3,3,338729604,3,1,4,13698,10,19,27,3,106586040,13281,75.291
8,7,336309206,2,3,3,125425,13,21,2,5,106435686,23838,41.948
6,2,488409252,5,2,4,78567,7,20,14,5,98054835,18688,53.509
5,3,799883181,6,2,6,94621,15,12,15,2,57997538,20567,48.618
2,8,304584776,6,5,16,45648,4,4,29,1,69239382,14244,70.199
8,4,142564889,2,5,2,95621,12,26,23,1,90208086,27477,36.392
2,2,487676015,6,2,8,56514,9,12,26,6,116104311,18649,53.619
4,7,155860138,3,2,9,23119,6,27,26,3,62349963,20618,48.499
3,2,883103874,4,2,13,90999,2,8,25,2,112428132,22159,45.125
8,1,224316413,3,1,7,108474,11,32,10,2,120199218,27488,36.378
3,2,307968796,5,4,10,13743,3,27,3,1,104436754,37276,26.825
6,5,789628670,8,3,11,41336,2,5,17,4,58104366,20889,47.869
4,6,646474970,3,5,8,82874,7,23,25,4,57326473,24405,40.974
5,5,902260353,7,2,8,61987,7,22,4,2,54046234,21157,47.262
7,6,579208902,4,3,4,97102,6,2,22,2,110271519,21779,45.915
5,8,222748182,3,5,9,61152,6,19,23,5,44923009,17055,58.631
8,8,722894899,8,3,2,127914,13,21,19,5,113620954,23384,42.763
5,4,575925431,3,1,11,10694,6,29,4,8,114421108,18864,53.008
8,2,529875210,6,2,12,85864,12,12,20,5,130626131,32094,31.158
1,4,88394755,5,2,16,114503,11,3,26,4,48411174,24939,40.095
5,7,60419062,4,2,12,82917,5,30,3,4,69459466,24521,40.78
1,5,673137084,4,1,6,9687,11,27,32,1,48426440,26325,37.984
1,4,336045011,3,4,4,68699,15,12,28,5,60716866,29592,33.792
1,5,760368564,4,1,11,20287,9,4,17,4,49422975,42693,23.422
6,8,62744777,6,3,3,40275,15,29,23,1,77876689,23788,42.037
4,3,847146843,6,2,11,46829,5,13,22,1,33942201,27840,35.918
7,7,839319119,3,1,11,50137,16,20,32,5,100263995,26196,38.172
3,1,659217751,7,3,10,26778,12,31,24,1,107489390,24936,40.1
4,1,990853040,3,1,12,98697,3,23,13,8,106549753,53397,18.727
8,5,1025900165,2,1,9,77213,4,28,5,8,34023917,31971,31.277
1,1,308479421,3,3,9,33748,15,14,28,6,121466705,25413,39.347
4,4,185651752,6,2,3,91733,4,23,24,4,84759400,33271,30.055
5,8,1051334963,3,1,10,58285,5,22,9,1,130600981,27493,36.371
5,2,306974311,2,5,15,117936,10,6,12,2,46119172,24583,40.677
5,5,510211314,4,2,16,35238,9,29,31,2,35882723,23511,42.53
3,6,464443249,6,4,14,110615,14,23,7,3,67012097,28083,35.607
3,1,749956218,5,1,15,92952,16,10,14,4,81857775,32138,31.115
1,4,567695104,7,2,15,37275,4,26,16,4,117682405,26226,38.128
1,8,288576975,3,2,15,92718,12,4,16,7,98695656,22664,44.121
8,5,953054289,7,1,11,88356,2,11,19,2,90825689,23748,42.106
8,7,886554543,3,1,7,20131,9,4,30,3,110108781,26204,38.16
4,8,901900777,3,3,15,130570,6,4,31,1,57476216,27391,36.507
1,6,710527808,5,4,12,85886,4,11,4,4,80203359,29519,33.875
3,8,871568512,7,3,16,74510,15,22,6,6,75112581,21919,45.621
5,1,49998626,2,1,3,59729,15,19,22,1,106505437,34293,29.159
5,1,976736989,8,4,8,112469,9,12,29,5,64509429,23065,43.353
1,4,912423669,7,4,8,39766,4,24,24,6,126562832,27298,36.63
3,6,238375284,2,4,5,86188,7,31,22,6,105647623,27562,36.281
2,4,216848746,4,4,13,50630,6,26,26,2,42949685,30840,32.424
1,6,468242727,4,5,7,88911,2,23,3,7,40502112,40282,24.824
6,5,40814016,4,1,9,95741,14,29,27,5,81772046,38411,26.033
3,8,1036056798,8,1,9,50018,15,12,7,3,123856309,41066,24.35
2,4,14355765,7,5,6,47022,11,12,15,2,89099401,33882,29.513
1,4,233681337,5,4,16,57099,8,2,14,3,129601512,28499,35.087
7,8,1072155282,6,3,7,10611,4,31,10,3,103489580,33515,29.836
2,2,1029168252,7,1,5,119888,8,7,25,5,78529469,36319,27.533
1,2,89783747,2,1,6,48317,5,32,24,3,99557851,24296,41.156
3,6,23942201,7,1,13,61768,13,14,3,6,57570262,24935,40.103
1,6,430780303,7,5,11,87389,5,31,14,1,81545112,26763,37.363
2,2,654072676,4,5,14,45227,11,17,20,2,93367159,25236,39.624
6,6,303785578,3,5,10,99167,6,19,31,8,93297190,22413,44.616
6,1,199859548,4,3,9,90593,8,3,17,6,128003521,25346,39.452
1,1,803610686,4,5,8,116384,5,20,18,4,125569300,47671,20.976
6,3,116679042,6,5,7,76203,9,23,22,7,94190503,53679,18.629
1,1,314828376,4,1,3,61810,14,25,3,5,43397155,31815,31.431
8,5,126663246,4,2,7,71661,16,9,24,1,125746370,46719,21.404
4,2,189062068,4,5,4,25425,12,16,12,6,78632245,26733,37.405
2,7,514539250,8,2,11,11576,16,29,18,1,53354868,30528,32.755
5,1,540367881,8,1,13,34155,16,24,31,1,132733575,63306,15.795
2,3,602929704,2,2,15,90371,12,32,17,4,71850640,25141,39.774
1,8,562986667,7,2,15,19427,2,5,27,4,83808667,42593,23.477
1,4,257607002,5,2,15,108201,12,16,19,8,61103762,44472,22.485
4,4,428059237,4,5,2,66713,13,11,31,7,49486816,49604,20.159
1,4,631908791,6,1,10,24461,4,12,13,3,48900612,30892,32.369
3,8,68900719,3,2,9,50568,14,12,11,8,39637229,46429,21.537
5,6,588472523,2,5,15,12851,11,21,22,7,76060748,38823,25.757
5,6,283357616,8,5,2,116980,13,26,8,5,53367622,22987,43.502
4,8,570229730,2,1,11,76410,15,31,2,4,113098935,33711,29.662
2,1,865177682,2,4,4,7477,6,28,22,5,133317473,25193,39.693
5,5,1059354131,2,3,13,49237,5,21,26,8,119753870,51357,19.471
6,7,874865007,2,3,16,57226,11,12,29,1,52492437,25068,39.889
4,4,628339724,2,5,5,123848,3,32,22,1,65638563,38732,25.817
6,8,1051418721,4,1,11,127582,9,15,18,3,50803958,35764,27.96
8,2,800467520,5,1,16,41748,7,20,16,4,42950377,21189,47.193
5,5,852350964,8,3,16,110706,4,26,18,8,126799074,28818,34.7
3,1,172015717,3,5,10,94724,8,18,23,8,107931240,54063,18.496
4,2,768867840,7,2,6,120946,3,28,15,4,103729155,23442,42.655
3,5,221298490,8,1,16,69280,13,7,18,1,47111047,32134,31.118
5,8,763673992,7,2,6,32972,2,21,27,3,88904249,32304,30.954
7,7,399753749,5,3,14,103286,6,15,14,1,98532976,24225,41.279
7,2,888228985,4,5,8,47932,2,25,27,3,37658389,23138,43.218
8,5,996774163,4,1,4,8571,15,3,3,5,64694597,40525,24.675
3,4,230070502,4,2,10,13462,16,9,13,3,88452363,35235,28.38
5,6,1063120691,5,3,5,128497,10,21,21,2,46845063,24850,40.239
