max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
6,8,322854967,3,4,7,90905,4,13,15,4,93059660,2100302,0.476
3,8,767493949,2,1,7,40688,10,28,32,5,41694573,1580482,0.633
4,6,795498336,5,1,9,74260,8,14,17,2,49342718,1906461,0.524
5,1,822573522,8,1,4,108938,14,4,7,3,49567711,1885913,0.53
2,7,759985917,5,1,14,119020,3,14,30,4,65651951,2069300,0.483
8,5,212737151,7,5,12,9598,6,7,4,8,69166856,1860884,0.537
3,4,21710955,2,2,7,8950,8,28,32,2,39061914,2221111,0.45
2,5,705669720,4,5,11,43002,4,5,26,5,62234140,1500566,0.666
8,8,864133464,4,4,9,54462,14,4,31,7,97955377,1613525,0.62
6,3,139201427,5,1,14,55956,11,18,32,6,86673543,2225456,0.449
1,4,499733256,7,1,5,54780,14,28,27,3,49363018,1521252,0.657
6,3,558770288,5,3,14,74832,8,27,20,5,75305942,2206862,0.453
8,1,877600632,2,2,3,115285,15,15,12,5,64719733,1646377,0.607
4,6,988431619,7,5,12,123738,7,6,19,8,58329499,2412888,0.414
2,3,505390681,6,4,13,54206,9,3,7,4,85481398,2262402,0.442
1,8,644728961,4,4,14,87765,15,9,26,2,49401701,1745130,0.573
6,8,921875816,4,5,4,89322,2,4,12,4,63512920,2531530,0.395
1,5,101099359,3,3,2,50775,2,15,15,7,110194168,2560163,0.391
4,1,551197370,6,3,4,77346,9,14,7,1,91852374,1583774,0.631
3,4,327225225,4,4,14,130679,5,10,30,5,94429333,1567985,0.638
6,2,514337862,6,4,9,92774,4,24,31,1,131916987,1903003,0.525
3,4,333319676,8,1,4,30034,8,27,25,7,103488205,1500226,0.666
7,1,151773390,4,4,8,62772,14,9,18,2,115239869,1149268,0.87
6,7,465258027,7,2,9,51004,7,2,2,6,133684293,1394931,0.717
6,8,142716668,8,2,7,90214,3,17,13,2,122400310,1971748,0.507
8,2,593115191,6,5,13,52974,3,15,21,7,114519821,1596737,0.626
7,2,923185713,2,2,3,123113,11,21,19,7,46633874,2051707,0.487
6,4,182008886,7,3,6,103425,7,31,27,4,51876128,2492864,0.401
